#####################;x
##### DECISIONS #####;x
#####################;x
####################;x
##### ANTIGONE #####;x
####################;x
sandwell_archive_title;Sandwell Archive;x
sandwell_archive_desc;The Sandwell Archive is one of the largest depositories of knowledge in the known universe, holding critical information on Argon derived technology as well as historical records including logs and transactions. Its existence is a catalyst of learning and research.;x
####################;x
##### SETTINGS #####;x
####################;x
show_settings_title;Show Settings;x
show_settings_desc;Show the special settings decisions.;x
hide_settings_title;Hide Settings;x
hide_settings_desc;Hide the special settings decisions.;x
activate_observer_mode_title;Activate Observer Mode;x
activate_observer_mode_desc;This setting permanently activates observer mode. Alongside giving your country modifiers to enable a peaceful and prosperous game, it also disables most events and prevents wars invovling your realm. Sit back, relax, and watch the known universe.\n\nPlaying as the Quettanauts is recommended, but not required, for observer mode games.;x
##################;x
##### SOHNEN #####;x
##################;x
SOH_start_decision_title;Sohnen start decision;x
SOH_start_decision_desc;Automatic Sohnen start decision.;x
