###############################;x
##### MODIFIERS AND FLAGS #####;x
###############################;x
khaak_hivemind;Khaak Hivemind;x
sohnen_no_prestige_desc;Sohnen do not get prestige;x
sohnen_no_prestige;Sohnen;x
xenon_hivemind;Xenon Hivemind;x
#######################################;x
##### JUMPGATE PROVINCE MODIFIERS #####;x
#######################################;x
jumpgate_to_adventures_promise;Jumpgate to §GAdventure's Promise§!;x
jumpgate_to_antigone_memorial;Jumpgate to §GAntigone Memorial§!;x
jumpgate_to_argon_prime;Jumpgate to §GArgon Prime§!;x
jumpgate_to_atiyas_misfortune;Jumpgate to §GAtiya's Misfortune§!;x
jumpgate_to_atreus_clouds;Jumpgate to §GAtreus' Clouds§!;x
jumpgate_to_avarice;Jumpgate to §GAvarice§!;x
jumpgate_to_barren_shores;Jumpgate to §GBarren Shores§!;x
jumpgate_to_black_hole_sun;Jumpgate to §GBlack Hole Sun§!;x
jumpgate_to_brennans_triumph;Jumpgate to §GBrennan's Triumph§!;x
jumpgate_to_bright_promise;Jumpgate to §GBright Promise§!;x
jumpgate_to_cardinals_domain;Jumpgate to §GCardinal's Domain§!;x
jumpgate_to_cardinals_redress;Jumpgate to §GCardinal's Redress§!;x
jumpgate_to_ceos_doubt;Jumpgate to §GCEO's Doubt§!;x
jumpgate_to_circle_of_deceit;Jumpgate to §GCircle of Deceit§!;x
jumpgate_to_cloudbase;Jumpgate to §GCloudbase§!;x
jumpgate_to_company_regard;Jumpgate to §GCompany Regard§!;x
jumpgate_to_eighteen_billion;Jumpgate to §GEighteen Billion§!;x
jumpgate_to_eleventh_hour;Jumpgate to §GEleventh Hour§!;x
jumpgate_to_elysium_of_light;Jumpgate to §GElysium of Light§!;x
jumpgate_to_emperors_pride;Jumpgate to §GEmperor's Pride§!;x
jumpgate_to_family_kritt;Jumpgate to §GFamily Kritt§!;x
jumpgate_to_family_nhuut;Jumpgate to §GFamily Nhuut§!;x
jumpgate_to_family_tkr;Jumpgate to §GFamily Tkr§!;x
jumpgate_to_family_zhin;Jumpgate to §GFamily Zhin§!;x
