#####################;x
##### FAKE NEWS #####;x
#####################;x
some_fake_ANY_title_1;Space is big;x
some_fake_ANY_1;Space is big. You just won't believe how vastly, hugely, mind-bogglingly big it is. I mean, you may think it's a long way down the road to the chemist's, but that's just peanuts to space.;x
some_fake_ANY_title_2;Corporate blunders force unique 'sector auction';x
some_fake_ANY_2;Following a string of significant losses for a legendary Teladi tycoon, it is becoming clear that the auction of a sector his Corporation recently claimed is now a distinct possibility.;x
some_fake_ANY_title_3;Weapons At War - Particle Accelerator Cannon;x
some_fake_ANY_3;This weapon is usually found on larger fighter craft, destroyers and on some battleships and carriers. They have been around since the beginning of the Xenon conflict.;x
some_fake_ANY_title_4;The price of vacuum: sector auction;x
some_fake_ANY_4;The price of sectors has risen considerably, as company's compete to find the best locations for their stations and factories along new trade routes.;x
some_fake_ANY_title_5;Galaxy Wide Martial Arts Tournament;x
some_fake_ANY_5;The final bout of the no holds barred IGF tournament ended today with the defeat of Argon 'Ta Shee-Do' grandmaster Nathan Gunner by Shin Zein, the current Split 'Pinja' champion.;x
some_fake_ANY_title_6;Five Nation Solar Clipper Race;x
some_fake_ANY_6;Every year the nations of the known galaxies enter into a good will race. All nations enter a basic-level ship which has been stripped down to a standard chassis and driven by solar-sail propulsion.;x
some_fake_ANY_title_7;Colony Boom Leads to Big Profits for Food Distributors;x
some_fake_ANY_7;With so many new colonies having been established in recent years, food distribution corporations are showing constantly rising profits. All races have continued their outward expansions and this has led to more and more mouths to feed in the outer territories of the known universe. Whatever the product, Nostrop, Soja, Argnu, Rastar or BoFu, profit is there to be made.;x
some_fake_ANY_title_8;Weapons At War - Photon Pulse Cannons;x
some_fake_ANY_8;First Developed by Professor Jo Bydnah of the Argon, the Photon Pulse Cannon is a firm favourite of the Argon Military, who then sold the original designs on to other races. This type of weapon is extremely powerful, and can only be fitted on the larger Capital craft.;x
some_fake_ANY_title_9;Xenon found;x
some_fake_ANY_9;So far details are sketchy but the Goner science team definitely think they have hit the jackpot. Blasted by sand on a remote moon shaken by earthquakes the remains of a structure, possibly Xenon, have been uncovered. How long they have been there and what the purpose was is still unknown.;x
some_fake_ANY_title_10;New AI Chip;x
some_fake_ANY_10;A software company, GjanTech, announced that they have made an advancement in AI technologies. A spokesman for Argons Against AI (AAAI) was worried.;x
some_fake_ANY_title_11;Fil Derk Arrested;x
some_fake_ANY_11;A pilot has been charged with stealing state secrets by photographing Split ships at close range. Fil Derk says he was contracted to photograph the ships by "Spaceflight Monthly", when contacted, the magazine denied they had ever met Mr Derk despite recently running articles on sensitive Split technology.;x
some_fake_ANY_title_12;Xenohistory Lecture Series Attended by Thousands;x
some_fake_ANY_12;The noted Goner historian and Doctor of Xenohistory Soma Felleson has been attracting audiences numbering into the thousands on her lecture tour of Argon and Boron worlds. The series of lectures, entitled "The Mystery of Before", is proving a surprise draw with hundreds having attended early lectures and thousands on recent dates. Venues for the series of five linked lectures are being changed for larger facilities for future dates.;x
some_fake_ANY_title_13;Teladi Freighter Crashes into Great Goner Temple;x
some_fake_ANY_13;The Great Temple at Cloudbase was the site of a tragic accident when a Teladi freighter travelling too quickly crashed into the docking channel with the loss of the pilot, two jazura ago. It is not understood why the ship did not slow down as an examination of the debris turned up no illegal substances nor were there any pursuing vessels.;x
some_fake_ANY_title_14;Argon One Engine Failure;x
some_fake_ANY_14;An investigation has begun to discover why the spaceship Argon One's starboard engine disintegrated as it was returning from deep space on one of its many exploring activities.;x
some_fake_ANY_title_15;Archaeologists Find Fractal Civilisation;x
some_fake_ANY_15;Archaeologists from the Goner Historical Investigations Chapter have discovered a site in Hatikvah's Faith comprising many stones carved in fractal patterns and inlaid with crystals.;x
some_fake_ANY_title_16;Boron weapons Leaked to the masses;x
some_fake_ANY_16;The leak of a cache of prototype weapons is causing trouble throughout the universe. The Boron science community is in uproar with the government at the lack of tight control on the systems.;x
some_fake_ANY_title_17;Station races spread to Teladi and Split;x
some_fake_ANY_17;The outlawed game Station Racing has spread from Argon space to Teladi space and now also involves the Split. The dangerous game involves an agreement on the award and then the station to land on. The Argon are believed to just like the rush of the race, the Teladi just like the gambling for credits and the Split like the danger and being able to embarrass the loser.;x
some_fake_ANY_title_18;Weapons At War - Impulse Ray Emitter;x
some_fake_ANY_18;The Impulse Ray Emitter is one of the oldest energy-based weapons around. No one actually knows by whom or when the weapon was first developed. The IRE, as they are better known, are mainly used on scout class craft. They require very little power to fire, and they have a rapid recharge rate.;x
some_fake_ANY_title_19;Tourists on spying charges;x
some_fake_ANY_19;The Split government are holding five Teladi tourists on spying charges. Found travelling Split space with no apparent trading opportunity, Split police arrested the five on charges of spying. They had been seen hanging around a Split Shipyard.;x
some_fake_ANY_title_20;Xenon found, then bombed;x
some_fake_ANY_20;Looks like the Goner had found the prize and then the Argon Military took it away in what must be a savage twist of fate. I'm sure questions will be asked and some poor soul will be blamed. That it took so much military hardware to attack an obsolete Xenon relic leaves us all with a sense of bewilderment. Surely they must have known the scientists were there and could have given them a call before landing.;x
some_fake_ANY_title_21;Space Flies in demand;x
some_fake_ANY_21;Space Flies are not as common as they used to be in the systems around Split Space. Isolated colonies still exist. In order not to hunt them to extinction a group of scientists have started to clone the Markus SpaceFly. Success may one day remove the need to capture such animals in deep space. Cloned production could elevate the high Split demand for such creatures.;x
some_fake_ANY_title_22;Exploding BoFu a Surreal Prank Say Boron;x
some_fake_ANY_22;Boron authorities have declared a recent spate of exploding BoFu cubes is a bizarre practical joke. Food companies across space have been complaining of BoFu exploding into shreds when the containers are opened. Somehow an excess of Boron BoGas appears to have been introduced into the cubed BoFu and this produces the explosion when the lids are popped.;x
some_fake_ANY_title_23;Security Concerns At Weapons Facilities;x
