#####################;x
##### COUNTRIES #####;x {
#####################;x
ABN_ADJ;Albion;x
ABN;Albion;x
AGN_ADJ;Argon;x
AGN;Argon Federation;x
ALI_ADJ;Alliance;x
ALI;Alliance of the Word;x
ANT_ADJ;Antigone;x
ANT;Antigone Republic;x
BOR_ADJ;Boron;x
BOR;Queendom of Boron;x
BUC_ADJ;Buccaneer;x
BUC;Duke's Buccaneers;x
CKK_ADJ;Khaak;x
CKK;Central Hive;x
COC_ADJ;Cabal;x
COC;Cabal of Curbs;x
COP_ADJ;Proctor;x
COP;Council of Proctors;x
EKK_ADJ;Khaak;x
EKK;Eastern Hive;x
FAF_ADJ;Fallen Families;x
FAF;Fallen Families;x
FRF_ADJ;Free Families;x
FRF;Free Families;x
FTN_ADJ;Teladi;x
FTN;First Teladi Non-profit Organisation;x
GOD_ADJ;Paranid;x
GOD;Godrealm of the Paranid;x
GON_ADJ;Goner;x
GON;Goner;x
HFL_ADJ;Hatikvah;x
HFL;Hatikvah Free League;x
HOP_ADJ;Pontifex;x
HOP;Holy Order of the Pontifex;x
KHK_ADJ;Khaak;x
KHK;Khaak;x
MIN_ADJ;Ministry;x
MIN;Ministry of Finance;x
NKK_ADJ;Khaak;x
NKK;Northern Hive;x
PIO_ADJ;Segaris;x
PIO;Segaris Pioneers;x
QTA_ADJ;Quettanaut;x
QTA;Quettanauts;x
RIP_ADJ;Riptide;x
RIP;Riptide Rakers;x
ROT_ADJ;Trinity;x
ROT;Realm of the Trinity;x
SKK_ADJ;Khaak;x
SKK;Southern Hive;x
SOH_ADJ;Sohnen;x
SOH;Sohnen;x
SOL_ADJ;Solaran;x
SOL;Solara;x
SPP_ADJ;Scale Plate;x
SPP;Scale Plate Pact;x
TEL_ADJ;Teladi;x
TEL;Teladi Company;x
TER_ADJ;Terran;x
TER;Terran;x
VIG_ADJ;Vigor;x
VIG;Vigor Syndicate;x
WEN_ADJ;Wenedran;x
WEN;Wenedra Prime;x
WKK_ADJ;Khaak;x
WKK;Western Hive;x
XEN_ADJ;Xenon;x
XEN;Xenon;x
YAK_ADJ;Yaki;x
YAK;Yaki;x
ZYA_ADJ;Zyarth;x
ZYA;Zyarth Patriarchy;x
#############################;x
##### POLITICAL PARTIES #####;x {
#############################;x
generic_reactionary;Conservative Party;x
generic_conservative;Centrist Party;x
generic_liberal;Neoliberal Party;x
generic_anarcho_liberal;Corporatist Party;x
generic_conservative;Centrist Party;x
generic_socialist;Progressive Party;x
generic_communist;Collectivist Party;x
KHK_communist;Khaak Hivemind;x
XEN_fascist;Xenon Continuum;x
############################;x
##### GOVERNMENT TYPES #####;x
############################;x
absolute_monarchy_ruler;King;x
absolute_monarchy;Absolute Monarchy;x
