#From;To;Type;Through;Data;Comment
602;94;land;1;0;Queen's Space III to Kingdom End X
87;95;land;1;0;Kingdom End III to Rolk's Demise I
96;101;land;1;0;Rolk's Demise II to Atreus' Clouds I
652;107;land;1;0;Rolk's Demise VII to Menelaus' Oasis I
108;104;land;1;0;Menelaus' Oasis II to Atreus' Clouds IV
102;113;land;1;0;Atreus' Clouds II to Adventure's Promise I
114;219;land;1;0;Adventure's Promise II to Ore Belt II
86;82;land;1;0;Kingdom End II to Sanctuary of Darkness I
84;79;land;1;0;Sanctuary of Darkness III to Great Reef IV
80;74;land;1;0;Great Reef V to Barren Shores IV
81;116;land;1;0;Great Reef VI to Ocean of Fantasy I
117;122;land;1;0;Ocean of Fantasy II to Getsu Fune III
71;70;land;1;0;Barren Shores I to Watchful Gaze IV
67;30;land;1;0;Watchful Gaze I to Heretic's End III
28;17;land;1;0;Heretic's End I to Wretched Skies II
16;14;land;1;0;Wretched Skies I to Litany of Fury VII
11;2;land;1;0;Litany of Fury IV to Emperor's Pride I
19;26;land;1;0;Wretched Skies IV to Family Zhin V
23;458;land;1;0;Family Zhin II to Tharka's Cascade VI
25;61;land;1;0;Family Zhin IV to Family Nhuut I
27;36;land;1;0;Family Zhin VI to Family Kritt I
37;42;land;1;0;Family Kritt II to Rhy's Defiance I
46;49;land;1;0;Rhy's Defiance V to Matrix 598 II
48;60;land;1;0;Matrix 598 I to Zyarth's Dominion IX
57;552;land;1;0;Zyarth's Dominion VI to Eleventh Hour I
54;551;land;1;0;Zyarth's Dominion III to Open Market V
55;64;land;1;0;Zyarth's Dominion IV to Family Nhuut IV
653;550;land;1;0;Family Nhuut VII to Open Market IV
554;558;land;1;0;Eleventh Hour III to Guiding Star III
548;545;land;1;0;Open Market II to Two Grand VI
557;546;land;1;0;Guiding Star II to Two Grand VII
543;648;land;1;0;Two Grand IV to Fires of Defeat IV
542;534;land;1;0;Two Grand III to Profit Center Alpha IV
649;587;land;1;0;Fires of Defeat V to Tharka's Ravine IV
586;580;land;1;0;Tharka's Ravine III to Heart of Acrimony II
