province;red;green;blue;x;x
1;41;201;201;Space;x
2;204;179;153;Emperor's Pride I;x
3;153;230;153;Emperor's Pride II;x
4;192;0;0;Emperor's Pride III;x
5;192;0;128;Emperor's Pride IV;x
6;153;179;153;Emperor's Pride V;x
7;192;128;128;Emperor's Pride VI;x
8;179;204;153;Litany of Fury I;x
9;128;64;128;Litany of Fury II;x
10;64;128;128;Litany of Fury III;x
11;119;210;74;Litany of Fury IV;x
12;119;128;199;Litany of Fury V;x
13;96;64;192;Litany of Fury VI;x
14;201;169;171;Litany of Fury VII;x
15;224;64;192;Litany of Fury VIII;x
16;224;192;192;Wretched Skies I;x
17;0;64;128;Wretched Skies II;x
18;153;230;204;Wretched Skies III;x
19;192;160;0;Wretched Skies IV;x
20;179;217;153;Wretched Skies V;x
21;179;166;153;Wretched Skies VI;x
22;192;160;128;Family Zhin I;x
23;192;64;0;Family Zhin II;x
24;63;85;151;Family Zhin III;x
25;128;160;128;Family Zhin IV;x
26;0;224;0;Family Zhin V;x
27;81;141;79;Family Zhin VI;x
28;122;120;79;Heretic's End I;x
29;128;224;0;Heretic's End II;x
30;128;32;64;Heretic's End III;x
31;192;96;0;Heretic's End IV;x
32;192;96;128;Heretic's End V;x
33;128;96;128;Matrix 79B I;x
34;192;224;128;Matrix 79B II;x
35;128;224;128;Matrix 79B III;x
36;74;142;210;Family Kritt I;x
37;128;32;192;Family Kritt II;x
38;64;224;0;Family Kritt III;x
39;192;224;0;Family Kritt IV;x
40;122;143;170;Family Kritt V;x
41;0;160;64;Family Kritt VI;x
42;128;160;64;Rhy's Defiance I;x
43;192;64;128;Rhy's Defiance II;x
44;70;70;122;Rhy's Defiance III;x
45;0;0;192;Rhy's Defiance IV;x
46;48;128;64;Rhy's Defiance V;x
47;64;96;0;Rhy's Defiance VI;x
48;192;160;192;Matrix 598 I;x
49;130;123;117;Matrix 598 II;x
50;64;32;192;Matrix 598 III;x
51;48;128;192;Matrix 598 IV;x
52;176;128;192;Zyarth's Dominion I;x
53;176;0;64;Zyarth's Dominion II;x
54;0;96;64;Zyarth's Dominion III;x
55;176;128;64;Zyarth's Dominion IV;x
56;116;74;122;Zyarth's Dominion V;x
57;176;0;192;Zyarth's Dominion VI;x
58;208;64;192;Zyarth's Dominion VII;x
59;176;210;74;Zyarth's Dominion VIII;x
60;128;224;64;Zyarth's Dominion IX;x
61;128;224;192;Family Nhuut I;x
62;192;96;64;Family Nhuut II;x
63;48;0;192;Family Nhuut III;x
64;240;192;128;Family Nhuut IV;x
65;176;192;192;Family Nhuut V;x
66;152;117;121;Family Nhuut VI;x
67;240;64;192;Watchful Gaze I;x
68;240;192;64;Watchful Gaze II;x
69;112;64;192;Watchful Gaze III;x
