ID;Name;Tag;total_pop;aristocrats_pc;aristocrats_bd;capitalists_pc;capitalists_bd;bureaucrats_pc;bureaucrats_bd;officers_pc;officers_bd;soldiers_pc;soldiers_bd;clergymen_pc;clergymen_bd;artisans_pc;artisans_bd;clerks_pc;clerks_bd;craftsmen_pc;craftsmen_bd;slaves_pc;slaves_bd;farmers_labourers_pc;farmers_labourers_bd;comment
2;Emperor's Pride I;XEN;12500;0.28;100 xenon;0.5;100 xenon;0.88;100 xenon;0.037;100 xenon;1.93;100 xenon;1.19;100 xenon;13.11;100 xenon;;;;;1.3;59 argon 19 paranid 22 boron;rest;100 xenon;
3;Emperor's Pride II;XEN;2250;0.32;100 xenon;;;0.89;100 xenon;0.014;100 xenon;2.34;100 xenon;1.12;100 xenon;10.5;100 xenon;;;;;4.68;75 paranid 25 teladi;rest;100 xenon;
4;Emperor's Pride III;XEN;2350;0.47;100 xenon;;;0.88;100 xenon;0.035;100 xenon;1.68;100 xenon;1.08;100 xenon;10.64;100 xenon;;;;;1.72;64 argon 36 boron;rest;100 xenon;
5;Emperor's Pride IV;XEN;1950;0.29;100 xenon;;;0.72;100 xenon;0.044;100 xenon;2.07;100 xenon;1.46;100 xenon;8.42;100 xenon;;;;;1.05;68 split 32 boron;rest;100 xenon;
6;Emperor's Pride V;XEN;1975;0.3;100 xenon;;;0.82;100 xenon;0.043;100 xenon;2.41;100 xenon;1.29;100 xenon;9.99;100 xenon;;;;;2.78;66 split 34 boron;rest;100 xenon;
7;Emperor's Pride VI;XEN;1050;0.33;100 xenon;;;0.78;100 xenon;0.031;100 xenon;1.78;100 xenon;1.35;100 xenon;8.12;100 xenon;;;;;4.63;63 argon 37 boron;rest;100 xenon;
8;Litany of Fury I;GOD;8500;1.55;100 paranid;0.5;100 paranid;0.76;100 paranid;0.113;100 paranid;1.73;100 paranid;1.27;100 paranid;13.39;100 paranid;;;;;4.49;47 paranid 33 split 20 teladi;rest;100 paranid;
9;Litany of Fury II;GOD;1500;2.54;100 paranid;;;0.64;100 paranid;0.087;100 paranid;1.73;100 paranid;1.22;100 paranid;7.81;100 paranid;;;;;4.19;80 paranid 20 boron;rest;100 paranid;
10;Litany of Fury III;GOD;1000;2.89;100 paranid;;;0.66;100 paranid;0.103;100 paranid;1.86;100 paranid;1.32;100 paranid;8.17;100 paranid;;;;;3.54;80 paranid 20 argon;rest;100 paranid;
11;Litany of Fury IV;GOD;1250;3.38;100 paranid;;;0.73;100 paranid;0.061;100 paranid;1.04;100 paranid;1.27;100 paranid;8.01;100 paranid;;;;;4.84;80 paranid 20 boron;rest;100 paranid;
